"[1] has been called the greatest Latin epigrammatist, and is considered the creator of the modern epigram.",1 - Martial,,Martial,"brief, interesting, memorable, and sometimes surprising or satirical statements",https://en.wikipedia.org/wiki/Martial
The Finnish Civil War was a civil war in Finland in [1] fought for the leadership and control of the country between [2] [2] and the Finnish Socialist Workers' Republic ([3] [3]) during the country's transition from a [4] [4] of the [5] [5] to an independent state.,"1 - 1918
2 - White Finland
3 - Red Finland
4 - grand duchy
5 - Russian Empire",1 - year,Finnish Civil War,,https://en.wikipedia.org/wiki/Finnish_Civil_War
"The English Civil War ([1]-[1]) was a series of civil wars and political machinations between [2] (""[3]"") and [4] led by [5] [5] (""[6]""), mainly over the manner of England's governance and issues of [7] freedom. It was part of the wider [8] [8] [8] [8] [8].","1 - 1642-1651
2 - Parliamentarians
3 - Roundheads
4 - Royalists
5 - Charles I
6 - Cavaliers
7 - religious
8 - Wars of the Three Kingdoms",2 - longer name than [4],English Civil War,,https://en.wikipedia.org/wiki/English_Civil_War
"Minnesota, which gets its name from the [1] language, has been inhabited by various indigenous peoples since the [2] period of the 11th century BCE.","1 - Dakota
2 - Woodland",,Minnesota,,https://en.wikipedia.org/wiki/Minnesota
"Some of the earliest Homo sapiens fossils, the [1] remains (from ca. 233,000 years ago) and the [2] skull (from ca. 160,000 ago) have been found in the Horn of Africa, both in [3].","1 - Omo
2 - Herto
3 - Ethiopia",3 - country,Horn of Africa,,https://en.wikipedia.org/wiki/Horn_of_Africa
"The Kingdom of [1] (also known as the [2] Empire) was an ancient state located in the Eritrea and Ethiopian [3], which thrived between the [4] and [5] centuries CE. A major player in the commerce between the Roman Empire and Ancient India, Aksum's rulers facilitated trade by minting their own currency.","1 - Aksum
2 - Aksumite
3 - highlands
4 - 1st
5 - 7th",3 - type of area,Horn of Africa,also Axum,https://en.wikipedia.org/wiki/Horn_of_Africa
"The Kingdom of Aksum also established its hegemony over the declining Kingdom of [1] and regularly entered the politics of the kingdoms on the [2] peninsula, eventually extending its rule over the region with the conquest of the [3] Kingdom.","1 - Kush
2 - Arabian
3 - Himyarite",,Horn of Africa,,https://en.wikipedia.org/wiki/Horn_of_Africa
"The Horn of Africa consists chiefly of mountains uplifted through the formation of the [1] [1] [1], a fissure in the Earth's crust extending from Turkey to Mozambique and marking the separation of the African and Arabian tectonic plates.",1 - Great Rift Valley,,Horn of Africa,,https://en.wikipedia.org/wiki/Horn_of_Africa
"Swahili is a [1] language of the [2] branch, though has borrowed a number of words from foreign languages, particularly [3], but also words from Portuguese, English and German.","1 - Bantu
2 - Sabaki
3 - Arabic",,Swahili language,"The Sabaki languages are the Bantu languages of the Swahili Coast, named for the Sabaki River.",https://en.wikipedia.org/wiki/Swahili_language
"A [1] [1] is an arbitrary [2] (a line of longitude) in a geographic coordinate system at which longitude is defined to be 0°. Together, a [1] [1] and its [3]-[3] (the 180th [4] in a 360°-system) form a [5] [5].","1 - prime meridian
2 - meridian
3 - anti-meridian
4 - meridian
5 - great circle",,Prime meridian,,https://en.wikipedia.org/wiki/Prime_meridian
"In mathematics, a [1] [1] or [2] is the circular intersection of a sphere and a plane passing through the sphere's center point.","1 - great circle
2 - orthodrome",,Great circle,,https://en.wikipedia.org/wiki/Great_circle
"[1] [1] (5 March 1512 - 2 December 1594) was a 16th-century geographer, cosmographer and cartographer from the County of [2].","1 - Gerardus Mercator
2 - Flanders",,Gerardus Mercator,,https://en.wikipedia.org/wiki/Gerardus_Mercator
Gerardus Mercator is most renowned for creating the [1] world map based on a new projection which represented sailing courses of constant bearing ([2] [2]) as straight lines-an innovation that is still employed in nautical charts.,"1 - 1569
2 - rhumb lines",,Gerardus Mercator,,https://en.wikipedia.org/wiki/Gerardus_Mercator
"Mercator was a highly influential pioneer in the history of cartography. Along with Gemma [1] and Abraham [2], he is generally considered one of the founders of the Netherlandish school of cartography and geography. He is also widely considered the most notable figure of the school.","1 - Frisius
2 - Ortelius",,Gerardus Mercator,,https://en.wikipedia.org/wiki/Gerardus_Mercator
"In navigation, a rhumb line, rhumb, or [1] is an arc crossing all meridians at the same angle, that is, a path with constant [2] as measured relative to [3] [3].","1 - loxodrome
2 - bearing
3 - true north",,Rhumb line,,https://en.wikipedia.org/wiki/Rhumb_line
"The first circumnavigation of the earth was completed in [1] with the Magellan-[2] expedition, a Spanish voyage of discovery led by Portuguese explorer Ferdinand Magellan and completed by Spanish navigator [3] [3] [3] after the former's death in the [4].","1 - 1522
2 - Elcano
3 - Juan Sebastián Elcano
4 - Philippines",,Navigation,"Magellan died in 1521.

The fleet of seven ships sailed from Sanlúcar de Barrameda in Southern Spain in 1519.",https://en.wikipedia.org/wiki/Navigation
"In navigation, [1] [1] is the process of calculating current position of some moving object by using a previously determined position, or [2], and then incorporating estimates of speed, heading direction, and course over elapsed time. The corresponding term in biology, used to describe the processes by which animals update their estimates of position or heading, is [3] [3].","1 - dead reckoning
2 - fix
3 - path integration",,Dead reckoning,,https://en.wikipedia.org/wiki/Dead_reckoning
